INDEX,TIMESTAMP,TWEET,USER NAME,ID,USER LOCATION,USER DESCRIPTION,FOLLOWERS COUNT,VERIFIED STATUS,FRIENDS COUNT,STATUSES COUNT,CREATION TIME,GEO ENABLED,LOCATION,REPLY COUNT,RETWEET COUNT,LIKE COUNT,RETWEETED,FAVORITED,HASHTAGS,LANGUAGE,TAG,SEVERITY-SCORE
1758,Sun Nov 03 20:23:11 +0000 2019,"RT @NFL: The longest run of 2019 (so far) belongs to Damien Williams!

A 91-yard @Chiefs touchdown! #ChiefsKingdom #MINvsKC

📺: FOX
📱: NFL…",不意栖斗⊿Γ,nhft05207,兵庫県 神戸市,シャッス⊿Γ,102,False,318,41289,Wed Mar 18 08:44:36 +0000 2015,False,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.0
1759,Sun Nov 03 20:23:16 +0000 2019,RT @bj_6ix: Tyreek hill got crackhead speed😂😂 https://t.co/lPNekMoAHw,WHITEDYLAN,WHITEDYLAN_,"Louisiana, USA",Two things I’ll never do… sell my soul & chase these women. #LSU23,396,False,389,1107,Tue Dec 06 00:33:32 +0000 2016,False,,0,0,0,False,False,[],en,MINvsKC,5.0
1760,Sun Nov 03 20:23:17 +0000 2019,"RT @PFF: 😱 Damien Williams 91 YARDS!

(also Tyreek Hill💨💨💨 to escort him to the end zone)

#MINvsKC

(via @NFL)  

 https://t.co/crzwqljhwy",parkita,j_guice,"Ensenada, Baja California",,57,False,164,23614,Fri Jul 31 20:06:12 +0000 2009,True,,0,0,0,False,False,[{'text': 'MINvsKC'}],en,MINvsKC,1.3685000000000003
1761,Sun Nov 03 20:23:18 +0000 2019,“… The f***ing Chiefs – they don’t run very well…“. I am pretty sure the on air Fox Sports commentator just dropped… https://t.co/hh84ltLGlG,Kevin Rotty,KevinRotty,"Twin Cities, MN","Performer, Educator living in suburban Minneapolis, MN. co-owner Sweet Keys Dueling Pianos, Director of Music at Church of the Risen Savior, Burnsville, MN",77,False,197,455,Mon Apr 13 18:37:48 +0000 2009,True,,0,0,0,False,False,[],en,MINvsKC,8.484499999999999
1762,Sun Nov 03 20:23:19 +0000 2019,91 yards!!!! Let’s gooo Vikings at Chiefs #MINvsKC https://t.co/EQfonvZdlg,Gracie Ann,GracieArdolf,"Mesa, AZ",adventure is out there; go find it // MN ➡️ AZ,516,False,438,9755,Tue May 29 20:45:25 +0000 2012,True,"{'id': '44d207663001f00b', 'url': 'https://api.twitter.com/1.1/geo/id/44d207663001f00b.json', 'place_type': 'city', 'name': 'Mesa', 'full_name': 'Mesa, AZ', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-111.894548, 33.306275], [-111.894548, 33.505234], [-111.580583, 33.505234], [-111.580583, 33.306275]]]}, 'attributes': {}}",0,0,0,False,False,[{'text': 'MINvsKC'}],en,MINvsKC,5.0
1763,Sun Nov 03 20:23:19 +0000 2019,TD lindo... mas o que foi aquela corrida do coleguinha? 😂,Karina Giassi 🎾🏈 🎮🧘🏻‍♀️,GiassiKarina,"Bento Gonçalves, Brasil",Tênis NFL WoW Yoga,95,False,164,2489,Sun Jan 21 00:44:44 +0000 2018,False,,0,0,0,False,False,[],pt,MINvsKC,7.202
1764,Sun Nov 03 20:23:22 +0000 2019,"RT @NFL: The longest run of 2019 (so far) belongs to Damien Williams!

A 91-yard @Chiefs touchdown! #ChiefsKingdom #MINvsKC

📺: FOX
📱: NFL…",Mr. E😆,Zaytowns,FL,"Faith Focus Finish (6)
FIU RUGBY 🏉 but it's still ❤🏈
RIP Nip🙏🏾",963,False,716,51295,Sat Aug 25 00:24:44 +0000 2012,True,,0,0,0,False,False,"[{'text': 'MINvsKC'}, {'text': 'MINvsKC'}]",en,MINvsKC,5.0
1765,Sun Nov 03 20:23:22 +0000 2019,"Wow....

The Viking actually do have a defense..

#MINvsKC https://t.co/s2bDqQVR7w",Will,IamWill3800,"Kentucky, USA",#DoubleUp | #KeepPounding | #Motivation,547,False,993,22334,Fri Mar 12 16:05:44 +0000 2010,True,,0,0,0,False,False,[{'text': 'MINvsKC'}],en,MINvsKC,5.0
1766,Sun Nov 03 20:23:25 +0000 2019,"RT @RedZoneChannel: FG: H.Butker (KC) hits a 45 yard FG! 
#Vikings 16 #Chiefs 20
#MINvsKC #RedZone #FantasyZone 
#Skol #ChiefsKingdom",David,CeltsBanner18,United States,,1064,False,1161,238989,Sun Jul 14 13:59:17 +0000 2013,True,,0,0,0,False,False,"[{'text': 'ChiefsKingdom'}, {'text': 'ChiefsKingdom'}, {'text': 'ChiefsKingdom'}, {'text': 'ChiefsKingdom'}, {'text': 'ChiefsKingdom'}, {'text': 'ChiefsKingdom'}, {'text': 'ChiefsKingdom'}]",en,MINvsKC,5.0
1767,Sun Nov 03 20:23:25 +0000 2019,Tyreek Hill has the speed of a God,Urameshi,_Jakota,Hidden Leaf Village,UNC-Pembroke 2019 | Ex. Phys. Major | #PantherNation | #GoHeels | #Lakers | #Dodgers,763,False,675,11181,Sun Dec 01 16:59:32 +0000 2013,True,,0,0,0,False,False,[],en,MINvsKC,6.3660000000000005
